State,"18-","18-25","26-"
Alabama,3.97591548%,7.30598703%,3.4112494%
Alaska,4.20564787%,8.30109975%,3.42946369%
Arizona,4.23335349%,7.04307618%,3.74666579%
Arkansas,4.58060374%,6.67484611%,4.2268195%
California,3.78290209%,7.82062343%,3.04570846%
Colorado,3.97058096%,7.51860097%,3.37108141%
Connecticut,3.33868106%,6.84742706%,2.77797256%
Delaware,3.79104324%,7.27173958%,3.21475108%
District of Columbia,3.91107714%,6.16692829%,3.42945389%
Florida,3.43859772%,6.97854147%,2.91559101%
Georgia,3.98692797%,6.78078124%,3.49393854%
Hawaii,4.11351648%,7.40653605%,3.59880765%
Idaho,4.49608637%,7.30213696%,4.01221109%
Illinois,3.65702886%,7.21587047%,3.06006664%
Indiana,4.13072915%,8.24059117%,3.40179236%
Iowa,4.04508492%,7.78409459%,3.38361978%
Kansas,3.82604953%,6.51471464%,3.33860985%
Kentucky,4.31369683%,7.44819137%,3.79369561%
Louisiana,4.21461158%,7.03675922%,3.71105766%
Maine,4.28994338%,7.66319741%,3.82280636%
Maryland,3.48194501%,7.44176015%,2.84066062%
Massachusetts,3.95942549%,7.33634158%,3.37002332%
Michigan,4.49634276%,8.41453393%,3.82026329%
Minnesota,4.21559543%,7.42289055%,3.69717946%
Mississippi,4.02670894%,6.63817554%,3.55016117%
Missouri,4.19657059%,7.9447213%,3.56615904%
Montana,4.55634407%,8.52966073%,3.90164324%
Nebraska,4.05192307%,8.3138872%,3.29540162%
Nevada,4.36949831%,8.32216054%,3.74862995%
New Hampshire,4.12001411%,10.29404215%,3.15653353%
New Jersey,3.59876716%,7.97654921%,2.93937595%
New Mexico,3.95543932%,6.8838275%,3.44864177%
New York,3.70809533%,7.2010309%,3.10735485%
North Carolina,4.46233004%,7.16662152%,4.01366426%
North Dakota,3.88524391%,7.39196926%,3.10600545%
Ohio,4.3931726%,8.33240053%,3.74827523%
Oklahoma,3.90206984%,7.18947247%,3.31693782%
Oregon,4.51866314%,8.31920341%,3.92704946%
Pennsylvania,4.01270426%,8.05220984%,3.35637587%
Rhode Island,4.20580408%,7.92413574%,3.50459649%
South Carolina,4.15264439%,6.90680345%,3.68982273%
South Dakota,3.91129298%,7.46117664%,3.28902623%
Tennessee,4.3784582%,7.57287176%,3.85322819%
Texas,3.44049871%,6.15273447%,2.93583507%
Utah,4.84705141%,9.86432917%,3.70017776%
Vermont,4.67047191%,7.32549437%,4.21110914%
Virginia,3.88890177%,7.34306111%,3.30788859%
Washington,4.26006596%,7.91448025%,3.66906011%
West Virginia,4.17598102%,7.44040897%,3.68097542%
Wisconsin,3.87804165%,7.5638811%,3.26947681%
